Year,Series,Source of revenue,Units,Unit multiplier,Observation status,Value
1999,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,34.74761289
2000,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,35.62697326
2001,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,35.41284726
2002,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,34.44236661
2003,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,34.23388856
2004,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,35.46061016
2005,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,36.57588666
2006,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,36.4686932
2007,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,36.74610387
2008,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,37.60085675
2009,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,35.39950908
2010,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,42.26628818
2011,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,36.55852123
2012,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,35.73324687
2013,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,36.6720664
2014,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,35.81691544
2015,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,35.95526455
2016,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,36.48476572
2017,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,37.10121585
2018,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,37.11564895
2019,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,36.86345893
2020,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,37.02478979
1999,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.000480884
2000,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0
2001,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.000702756
2002,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.001094579
2003,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.000796059
2004,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.000910844
2005,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.000933212
2006,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.001631855
2007,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.004980321
2008,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.002453974
2009,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.002453967
2010,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.002366087
2011,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.002710613
2012,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.007068707
2013,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.005897763
2014,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.006602226
2015,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.005782331
2016,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.014889367
2017,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.01832018
2018,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.006863412
2019,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.005185349
2020,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.003503723
1999,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,5.850818272
2000,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,5.886485993
2001,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,5.921862304
2002,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,5.697453251
2003,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,5.860269323
2004,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.116622984
2005,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.171188439
2006,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.183370175
2007,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.120750153
2008,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.302182338
2009,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.244442249
2010,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.163719539
2011,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.197726579
2012,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.178809069
2013,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.047847148
2014,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,5.941627733
2015,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.029721182
2016,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.198739467
2017,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.378612858
2018,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.392077289
2019,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.551711233
2020,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.921699836
1999,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,26.68857574
