Year,Observation status,Unit multiplier,Unit measure,Value
2016 Q4,undefined,Units,Percentage (%),11.9891
2017 Q1,undefined,Units,Percentage (%),12.3574
2017 Q2,undefined,Units,Percentage (%),12.8736
2017 Q3,undefined,Units,Percentage (%),12.9354
2017 Q4,undefined,Units,Percentage (%),13.4069
2018 Q1,undefined,Units,Percentage (%),13.7479
2018 Q2,undefined,Units,Percentage (%),13.7736
2018 Q3,undefined,Units,Percentage (%),14.0749
2018 Q4,undefined,Units,Percentage (%),14.401
2019 Q1,undefined,Units,Percentage (%),14.6669
2019 Q2,undefined,Units,Percentage (%),15.0692
2019 Q3,undefined,Units,Percentage (%),15.1051
2019 Q4,undefined,Units,Percentage (%),15.0873
2020 Q1,undefined,Units,Percentage (%),15.2401
2020 Q2,undefined,Units,Percentage (%),14.8382
2020 Q3,undefined,Units,Percentage (%),14.7283
