Year,Units,Unit measure,Unit multiplier,Geography,Observation status,Value
2000.0,GDP Growth,Percentage change (%),Units,,Undefined,3.1
2001.0,GDP Growth,Percentage change (%),Units,,Undefined,2.4
2002.0,GDP Growth,Percentage change (%),Units,,Undefined,2.1
2003.0,GDP Growth,Percentage change (%),Units,,Undefined,2.9
2004.0,GDP Growth,Percentage change (%),Units,,Undefined,1.8
2005.0,GDP Growth,Percentage change (%),Units,,Undefined,2.4
2006.0,GDP Growth,Percentage change (%),Units,,Undefined,1.8
2007.0,GDP Growth,Percentage change (%),Units,,Undefined,1.7
2008.0,GDP Growth,Percentage change (%),Units,,Undefined,-1.2
2009.0,GDP Growth,Percentage change (%),Units,,Undefined,-4.9
2010.0,GDP Growth,Percentage change (%),Units,,Undefined,0.9
2011.0,GDP Growth,Percentage change (%),Units,,Undefined,0.8
2012.0,GDP Growth,Percentage change (%),Units,,Undefined,0.8
2013.0,GDP Growth,Percentage change (%),Units,,Undefined,1.4
2014.0,GDP Growth,Percentage change (%),Units,,Undefined,2.2
2015.0,GDP Growth,Percentage change (%),Units,,Undefined,1.5
2016.0,GDP Growth,Percentage change (%),Units,,Undefined,1.0
2017.0,GDP Growth,Percentage change (%),Units,,Undefined,1.2
2018.0,GDP Growth,Percentage change (%),Units,,Undefined,0.7
1999.0,GVA per Head,Percentage change (%),Units,,Undefined,3.175538532050023
2000.0,GVA per Head,Percentage change (%),Units,,Undefined,5.267165883995431
2001.0,GVA per Head,Percentage change (%),Units,,Undefined,3.538702676633711
2002.0,GVA per Head,Percentage change (%),Units,,Undefined,4.419213973799127
2003.0,GVA per Head,Percentage change (%),Units,,Undefined,5.414296866287499
2004.0,GVA per Head,Percentage change (%),Units,,Undefined,4.18407828616768
2005.0,GVA per Head,Percentage change (%),Units,,Undefined,5.143176279447603
2006.0,GVA per Head,Percentage change (%),Units,,Undefined,4.872277753633686
2007.0,GVA per Head,Percentage change (%),Units,,Undefined,4.245326457316511
2008.0,GVA per Head,Percentage change (%),Units,,Undefined,2.137809187279152
2009.0,GVA per Head,Percentage change (%),Units,,Undefined,-2.759038228680159
2010.0,GVA per Head,Percentage change (%),Units,,Undefined,1.3030329983100597
2011.0,GVA per Head,Percentage change (%),Units,,Undefined,1.8569735282497037
2012.0,GVA per Head,Percentage change (%),Units,,Undefined,2.4911645547797603
2013.0,GVA per Head,Percentage change (%),Units,,Undefined,3.2001682085786376
2014.0,GVA per Head,Percentage change (%),Units,,Undefined,3.82624994906483
2015.0,GVA per Head,Percentage change (%),Units,,Undefined,1.989795918367347
2016.0,GVA per Head,Percentage change (%),Units,,Undefined,2.9322353484434527
2017.0,GVA per Head,Percentage change (%),Units,,Undefined,3.013196755018879
1999.0,GVA per Head,Percentage change (%),Units,North East,Undefined,1.8594306049822065
2000.0,GVA per Head,Percentage change (%),Units,North East,Undefined,3.458817363961918
2001.0,GVA per Head,Percentage change (%),Units,North East,Undefined,4.263402279442803
