Year,Series,Country,Ethnicity,Sex,Type (wasted or overweight),BMI Classifications,IMD Deciles (England),IMD Quintiles,Urban or rural,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2006/07,WHO Child Growth Standards,England,,,Wasted,,,,,Undefined,Units,Percentage (%),E92000001,0.522690376124657
2006/07,WHO Child Growth Standards,England,,Male,Wasted,,,,,Undefined,Units,Percentage (%),E92000001,0.468539840666893
2006/07,WHO Child Growth Standards,England,,Female,Wasted,,,,,Undefined,Units,Percentage (%),E92000001,0.579791462103147
2006/07,WHO Child Growth Standards,England,,,Wasted,,,1 (Most deprived),,Undefined,Units,Percentage (%),E92000001,0.610188732794097
2006/07,WHO Child Growth Standards,England,,,Wasted,,,2,,Undefined,Units,Percentage (%),E92000001,0.452748832195473
2006/07,WHO Child Growth Standards,England,,,Wasted,,,3,,Undefined,Units,Percentage (%),E92000001,0.441235459286001
2006/07,WHO Child Growth Standards,England,,,Wasted,,,4,,Undefined,Units,Percentage (%),E92000001,0.418275418275418
2006/07,WHO Child Growth Standards,England,,,Wasted,,,5 (Least deprived),,Undefined,Units,Percentage (%),E92000001,0.378028082086098
2006/07,WHO Child Growth Standards,England,White - British,,Wasted,,,,,Undefined,Units,Percentage (%),E92000001,0.311460920072394
2006/07,WHO Child Growth Standards,England,White - Irish,,Wasted,,,,,Undefined,Units,Percentage (%),E92000001,0.411522633744856
2006/07,WHO Child Growth Standards,England,Any other White background,,Wasted,,,,,Undefined,Units,Percentage (%),E92000001,0.72083879423329
2006/07,WHO Child Growth Standards,England,White and Black Caribbean,,Wasted,,,,,Undefined,Units,Percentage (%),E92000001,1.78727114210985
2006/07,WHO Child Growth Standards,England,White and Black African,,Wasted,,,,,Undefined,Units,Percentage (%),E92000001,1.87144019528072
2006/07,WHO Child Growth Standards,England,White and Asian,,Wasted,,,,,Undefined,Units,Percentage (%),E92000001,2.10378681626928
2006/07,WHO Child Growth Standards,England,Any other Mixed background,,Wasted,,,,,Undefined,Units,Percentage (%),E92000001,0.0
2006/07,WHO Child Growth Standards,England,Indian,,Wasted,,,,,Undefined,Units,Percentage (%),E92000001,1.76470588235294
2006/07,WHO Child Growth Standards,England,Pakistani,,Wasted,,,,,Undefined,Units,Percentage (%),E92000001,1.27340823970037
2006/07,WHO Child Growth Standards,England,Bangladeshi,,Wasted,,,,,Undefined,Units,Percentage (%),E92000001,0.693481276005548
2006/07,WHO Child Growth Standards,England,Chinese,,Wasted,,,,,Undefined,Units,Percentage (%),E92000001,1.10803324099723
2006/07,WHO Child Growth Standards,England,Any other Asian background,,Wasted,,,,,Undefined,Units,Percentage (%),E92000001,0.665188470066519
2006/07,WHO Child Growth Standards,England,Black - African,,Wasted,,,,,Undefined,Units,Percentage (%),E92000001,0.958466453674121
2006/07,WHO Child Growth Standards,England,Black - Caribbean,,Wasted,,,,,Undefined,Units,Percentage (%),E92000001,0.427350427350427
2006/07,WHO Child Growth Standards,England,Any other Black background,,Wasted,,,,,Undefined,Units,Percentage (%),E92000001,0.183823529411765
