Year,Series,Unit multiplier,Observation status,Units,Value
1999,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),72.3913241949578
2000,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),73.74687240391091
2001,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),71.16657178220674
2002,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),66.8751096786896
2003,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),64.34497402945959
2004,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),63.99396400271182
2005,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),63.215295950626995
2006,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),64.41754444163527
2007,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),64.56462685679337
2008,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),60.86198585678212
2009,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),52.676751691468695
2010,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),55.164822773553524
2011,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),58.553726316387376
2012,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),57.47384476844779
2013,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),61.11998014485466
2014,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),61.69799051841248
2015,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),63.47203803327912
2016,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),66.05789672516093
2017,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),66.37887402209294
2018,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),65.57384256388868
2019,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),65.5231092066515
2020,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),51.372562038955735
2021,Proportion of domestic budget funded by domestic taxes,Units,Normal value,Percentage (%),59.077612017919904
