Year,Type,Observation status,Unit multiplier,Unit measure,Value
2004,A,Estimate,Units,Percentage (%),1.0
2005,A,Estimate,Units,Percentage (%),1.0
2006,A,Estimate,Units,Percentage (%),1.0
2007,B,Estimate,Units,Percentage (%),2.0
2008,B,Estimate,Units,Percentage (%),2.0
2009,B,Estimate,Units,Percentage (%),2.0
2010,1,Estimate,Units,Percentage (%),3.0
2011,1,Estimate,Units,Percentage (%),3.0
2012,1,Estimate,Units,Percentage (%),3.0
2013,2,Estimate,Units,Percentage (%),4.0
2014,2,Estimate,Units,Percentage (%),4.0
2015,2,Estimate,Units,Percentage (%),4.0
