Indicator,Abbreviated name,QA issue,Assigned to
1.1.1,Population below international poverty line,Add definitions,
1.2.1,Population below national poverty line,,
2.2.2,Stunting,,
3.1.1,Maternal mortality,,
3.2.1,Under-5 mortality,,
3.3.1,HIV,,
3.3.2,Tuberculosis,,
3.3.3,Malaria,,
3.7.2,Adolecent birth rate,,
4.6.1,Fixed level of literacy & numeracy,,
5.5.1,Women in parliament,,
5.a.2,Women's equal right to land,,
6.1.1,Safe drinking water,,
8.3.1,Informal employment,,
8.5.2,Unemployment,,
15.1.1,Forest area,,
