1.5.1,Deaths due to disasters
2.1.1,Prevelance of undernourishment
2.4.1,MINIRENA media centre documents Land accounts March 2018
3.4.1,"Mortality rate due to cardio disease, cancer, diabeties or chronic resp disease"
3.9.1,Mortality attributed to air pollution
5.5.2,Women in managerial positions
5.b.1,"Proportion of individuals who own a mobile telephone, by sex"
,
6.2.1,Proportion of population using safely managed sanitation services
8.1.1,Annual growth rate of GDP per capita
8.7.1,Proportion and number of children aged 5-17 engaged in child labour by sex and age
9.4.1,CO2 emissions per unit of value added
9.c.1,Proportion of population covered by mobile network
11.1.1,"Proportion of urban population living in slums, informal settlements or inadequate housing"
13.1.1,As 1.5.1
,
16.1.3,"Proportion of population subjected to physical, psychological & sexual violence in the previous 12 months"
16.2.3,Proportion of young women & men aged 18-29 who experienced sexual violence
16.9.1,Proportion of children under 5 years whose births have been registered with a civil authority
17.6.2,Fixed internet broadband subscriptions per 100 inhabitants
17.8.1,Proportion of individuals using the internet
,
