Year,Country group,Product Sector,Units,Value
2005,Developing countries,,Percentage (%),43.05080474
2006,Developing countries,,Percentage (%),43.00242386
2007,Developing countries,,Percentage (%),41.02660939
2008,Developing countries,,Percentage (%),41.8808325
2009,Developing countries,,Percentage (%),42.05498017
2010,Developing countries,,Percentage (%),42.61787312
2011,Developing countries,,Percentage (%),43.03385191
2012,Developing countries,,Percentage (%),42.65996845
2013,Developing countries,,Percentage (%),42.81060197
2014,Developing countries,,Percentage (%),43.31045606
2015,Developing countries,,Percentage (%),43.50717015
2016,Developing countries,,Percentage (%),45.26040567
2017,Developing countries,,Percentage (%),45.89665653
2018,Developing countries,,Percentage (%),46.95576437
2019,Developing countries,,Percentage (%),47.67470173
2005,Developing countries,AGRI,Percentage (%),46.86419753
2006,Developing countries,AGRI,Percentage (%),47.39347774
2007,Developing countries,AGRI,Percentage (%),46.79541596
2008,Developing countries,AGRI,Percentage (%),47.81014024
2009,Developing countries,AGRI,Percentage (%),50.11363636
2010,Developing countries,AGRI,Percentage (%),50.15886465
2011,Developing countries,AGRI,Percentage (%),53.70499419
2012,Developing countries,AGRI,Percentage (%),54.68655513
2013,Developing countries,AGRI,Percentage (%),54.68136797
2014,Developing countries,AGRI,Percentage (%),56.51280135
2015,Developing countries,AGRI,Percentage (%),58.60411459
2016,Developing countries,AGRI,Percentage (%),58.75885203
2017,Developing countries,AGRI,Percentage (%),59.15313013
2018,Developing countries,AGRI,Percentage (%),61.11713666
2019,Developing countries,AGRI,Percentage (%),60.74799644
2005,Developing countries,FISH,Percentage (%),32.38095238
2006,Developing countries,FISH,Percentage (%),29.41176471
2007,Developing countries,FISH,Percentage (%),29.65879265
2008,Developing countries,FISH,Percentage (%),29.16666667
2009,Developing countries,FISH,Percentage (%),29.5264624
2010,Developing countries,FISH,Percentage (%),29.04109589
2011,Developing countries,FISH,Percentage (%),26.30136986
2012,Developing countries,FISH,Percentage (%),27.56892231
2013,Developing countries,FISH,Percentage (%),28.04428044
2014,Developing countries,FISH,Percentage (%),30.25641026
2015,Developing countries,FISH,Percentage (%),35.37313433
2016,Developing countries,FISH,Percentage (%),38.10264386
2017,Developing countries,FISH,Percentage (%),35.96614951
2018,Developing countries,FISH,Percentage (%),40.86538462
2019,Developing countries,FISH,Percentage (%),44.6875
2005,Developing countries,NAMA,Percentage (%),42.1063676
2006,Developing countries,NAMA,Percentage (%),42.12657537
2007,Developing countries,NAMA,Percentage (%),40.63928645
2008,Developing countries,NAMA,Percentage (%),41.49956068
2009,Developing countries,NAMA,Percentage (%),41.408143
2010,Developing countries,NAMA,Percentage (%),42.04026689
2011,Developing countries,NAMA,Percentage (%),42.21410693
2012,Developing countries,NAMA,Percentage (%),41.75583706
2013,Developing countries,NAMA,Percentage (%),41.89498816
2014,Developing countries,NAMA,Percentage (%),42.15072924
2015,Developing countries,NAMA,Percentage (%),42.00778783
2016,Developing countries,NAMA,Percentage (%),43.95112094
2017,Developing countries,NAMA,Percentage (%),44.79073389
2018,Developing countries,NAMA,Percentage (%),45.6019061
2019,Developing countries,NAMA,Percentage (%),46.47469789
2005,Developing countries,PAPS,Percentage (%),35.52550707
2006,Developing countries,PAPS,Percentage (%),35.71847507
2007,Developing countries,PAPS,Percentage (%),34.89751888
2008,Developing countries,PAPS,Percentage (%),37.12284483
2009,Developing countries,PAPS,Percentage (%),38.06047967
2010,Developing countries,PAPS,Percentage (%),37.5825292
2011,Developing countries,PAPS,Percentage (%),39.29939792
