Year,Series,Observation status,Unit multiplier,Units,Value
2000,Proportion of population below the international poverty line,Estimated value,Units,Percentage (%),0.2
2001,Proportion of population below the international poverty line,Estimated value,Units,Percentage (%),0.2
2002,Proportion of population below the international poverty line,Estimated value,Units,Percentage (%),0.2
2003,Proportion of population below the international poverty line,Estimated value,Units,Percentage (%),0.2
2004,Proportion of population below the international poverty line,Estimated value,Units,Percentage (%),0.2
2005,Proportion of population below the international poverty line,Estimated value,Units,Percentage (%),0.2
2006,Proportion of population below the international poverty line,Estimated value,Units,Percentage (%),0.2
2007,Proportion of population below the international poverty line,Estimated value,Units,Percentage (%),0.2
2008,Proportion of population below the international poverty line,Estimated value,Units,Percentage (%),0.2
2009,Proportion of population below the international poverty line,Estimated value,Units,Percentage (%),0.2
2010,Proportion of population below the international poverty line,Estimated value,Units,Percentage (%),0.2
2011,Proportion of population below the international poverty line,Estimated value,Units,Percentage (%),0.2
2012,Proportion of population below the international poverty line,Estimated value,Units,Percentage (%),0.2
2013,Proportion of population below the international poverty line,Estimated value,Units,Percentage (%),0.2
2014,Proportion of population below the international poverty line,Estimated value,Units,Percentage (%),0.2
2015,Proportion of population below the international poverty line,Estimated value,Units,Percentage (%),0.2
2016,Proportion of population below the international poverty line,Estimated value,Units,Percentage (%),0.2
2017,Proportion of population below the international poverty line,Estimated value,Units,Percentage (%),0.2
2018,Proportion of population below the international poverty line,Estimated value,Units,Percentage (%),0.5
2019,Proportion of population below the international poverty line,Estimated value,Units,Percentage (%),0.5
2020,Proportion of population below the international poverty line,Estimated value,Units,Percentage (%),0.5
