Year,Sex,Age,Country,Household size,Children under 16 in the household,Children under 6 in the household,Working Status,Household income,Food insecurity category,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2016,,,,,,,,,Low or very low food security,Undefined,Units,Percentage (%),,8.15
2016,,16 to 24,,,,,,,Low or very low food security,Undefined,Units,Percentage (%),,15.57
2016,,25 to 34,,,,,,,Low or very low food security,Undefined,Units,Percentage (%),,10.94
2016,,35 to 44,,,,,,,Low or very low food security,Undefined,Units,Percentage (%),,9.14
2016,,45 to 54,,,,,,,Low or very low food security,Undefined,Units,Percentage (%),,8.02
2016,,55 to 64,,,,,,,Low or very low food security,Undefined,Units,Percentage (%),,6.47
2016,,65 to 74,,,,,,,Low or very low food security,Undefined,Units,Percentage (%),,2.2
2016,,75 and over,,,,,,,Low or very low food security,Undefined,Units,Percentage (%),,1.28
2016,,,England,,,,,,Low or very low food security,Undefined,Units,Percentage (%),E92000001,8.03
2016,,,Wales,,,,,,Low or very low food security,Undefined,Units,Percentage (%),W92000004,9.21
2016,,,Northern Ireland,,,,,,Low or very low food security,Undefined,Units,Percentage (%),N92000002,10.13
2016,,,,1,,,,,Low or very low food security,Undefined,Units,Percentage (%),,10.25
2016,,,,2,,,,,Low or very low food security,Undefined,Units,Percentage (%),,4.97
2016,,,,3,,,,,Low or very low food security,Undefined,Units,Percentage (%),,8.87
2016,,,,4,,,,,Low or very low food security,Undefined,Units,Percentage (%),,8.3
2016,,,,5 or more,,,,,Low or very low food security,Undefined,Units,Percentage (%),,14.37
2016,,,,,Yes,,,,Low or very low food security,Undefined,Units,Percentage (%),,11.48
2016,,,,,No,,,,Low or very low food security,Undefined,Units,Percentage (%),,6.73
2016,,,,,,Yes,,,Low or very low food security,Undefined,Units,Percentage (%),,12.73
2016,,,,,,No,,,Low or very low food security,Undefined,Units,Percentage (%),,7.33
2016,,,,,,,In work,,Low or very low food security,Undefined,Units,Percentage (%),,6.56
2016,,,,,,,Retired,,Low or very low food security,Undefined,Units,Percentage (%),,2.33
2016,,,,,,,Unemployed,,Low or very low food security,Undefined,Units,Percentage (%),,34.86
2016,,,,,,,Other,,Low or very low food security,Undefined,Units,Percentage (%),,18.3
2016,,,,,,,,"£10,399 or less",Low or very low food security,Undefined,Units,Percentage (%),,22.98
2016,,,,,,,,"£10,400 to £25,999",Low or very low food security,Undefined,Units,Percentage (%),,12.73
2016,,,,,,,,"£26,000 to £51,999",Low or very low food security,Undefined,Units,Percentage (%),,5.57
2016,,,,,,,,"£52,000 or more",Low or very low food security,Undefined,Units,Percentage (%),,2.83
2016,Male,,,,,,,,Low or very low food security,Undefined,Units,Percentage (%),,6.16
2016,Male,16 to 24,,,,,,,Low or very low food security,Undefined,Units,Percentage (%),,12.77
2016,Male,25 to 34,,,,,,,Low or very low food security,Undefined,Units,Percentage (%),,6.75
2016,Male,35 to 44,,,,,,,Low or very low food security,Undefined,Units,Percentage (%),,6.17
2016,Male,45 to 54,,,,,,,Low or very low food security,Undefined,Units,Percentage (%),,5.59
2016,Male,55 to 64,,,,,,,Low or very low food security,Undefined,Units,Percentage (%),,6.41
2016,Male,65 to 74,,,,,,,Low or very low food security,Undefined,Units,Percentage (%),,2.09
