Value,Disaggregation combinations using this value,Number of indicators
Aquifer management instruments,1,1
Arrangements for transboundary water management in most important basins and aquifers,1,1
Basin and aquifer level organizations for leading implementation of integrated water resources management (IWRM) plans,1,1
Basin and aquifer management plans,1,1
Basin management instruments,1,1
"Business participation in water resources development, management and use at national level",1,1
"Coordination between national government authorities representing different sectors on water resources, policy, planning and management",1,1
Data and information sharing within countries at all levels,1,1
Developing integrated water resources management (IWRM) capacity at the national level,1,1
Financing for transboundary cooperation,1,1
Management instruments to reduce impacts of water-related disasters from the national level,1,1
Management of water-related ecosystems from the national level,1,1
National budget for investment including water resources infrastructure,1,1
National budget for the recurrent costs of the integrated water resources management (IWRM) elements,1,1
National government authority capacity for leading implementation of national integrated water resources management (IWRM) plans,1,1
National integrated water resources management (IWRM) plans,1,1
National monitoring of water availability,1,1
National water resources law,1,1
National water resources policy,1,1
Organizational framework for transboundary water management for most important basins and aquifers,1,1
Pollution control from the national level,1,1
Provincial and state water resources laws,1,1
"Public participation in water resources, policy, planning and management at national level",1,1
"Public participation in water resources, policy, planning and management at the local level",1,1
"Revenues raised from dedicated levies on water users at basin, aquifer or sub-national levels",1,1
Sub-national or basin budgets for investment including water resources infrastructure,1,1
Sub-national water resources policies,1,1
Sustainable and efficient water use management from the national level,1,1
Transboundary data and information sharing between countries,1,1
