number,name,delete_type
1.a.1,Proportion of domestically generated resources allocated by the government directly to poverty reduction programmes,deleted
1.a.3,Sum of total grants and non-debt-creating inflows directly allocated to poverty reduction programmes as a proportion of GDP,replaced
1.b.1,"Proportion of government recurrent and capital spending to sectors that disproportionately benefit women, the poor and vulnerable groups",replaced
2.4.1,Proportion of agricultural area under productive and sustainable agriculture,revised
2.5.2,"Proportion of local breeds classified as being at risk, not at risk or at unknown level of risk of extinction",revised
4.2.1,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex",partially deleted
5.a.2,Proportion of countries where the legal framework (including customary law) guarantees women’s equal rights to land ownership and/or control,revised
6.3.1,Proportion of wastewater safely treated,revised
7.b.1,Investments in energy efficiency as a proportion of GDP and the amount of foreign direct investment in financial transfer for infrastructure and technology to sustainable development services,replaced
8.3.1,"Proportion of informal employment in non‐agriculture employment, by sex",revised
8.9.2,Proportion of jobs in sustainable tourism industries out of total tourism jobs,deleted
11.6.1,"Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities",revised
11.a.1,"Proportion of population living in cities that implement urban and regional development plans integrating population projections and resource needs, by size of city",replaced
11.c.1,"Proportion of financial support to the least developed countries that is allocated to the construction and retrofitting of sustainable, resilient and resource-efficient buildings utilizing local materials",deleted
12.a.1,Amount of support to developing countries on research and development for sustainable consumption and production and environmentally sound technologies,replaced
12.b.1,Number of sustainable tourism strategies or policies and implemented action plans with agreed monitoring and evaluation tools,replaced
13.2.1,"Number of countries that have communicated the establishment or operationalization of an integrated policy/strategy/plan which increases their ability to adapt to the adverse impacts of climate change, and foster climate resilience and low greenhouse gas emissions development in a manner that does not threaten food production (including a national adaptation plan, nationally determined contribution, national communication, biennial update report or other)",replaced
13.3.1,"Number of countries that have integrated mitigation, adaptation, impact reduction and early warning into primary, secondary and tertiary curricula",replaced
13.3.2,"Number of countries that have communicated the strengthening of institutional, systemic and individual capacity-building to implement adaptation, mitigation and technology transfer, and development actions",deleted
13.a.1,Mobilized amount of United States dollars per year between 2020 and 2025 accountable towards the $100 billion commitment,replaced
13.b.1,"Number of least developed countries and small island developing States that are receiving specialized support, and amount of support, including finance, technology and capacity-building, for mechanisms for raising capacities for effective climate change-related planning and management, including focusing on women, youth and local and marginalized communities",replaced
15.9.1,Progress towards national targets established in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011–2020,revised
15.b.1,Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems,replaced
17.3.1,"Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget",replaced
17.5.1,Number of countries that adopt and implement investment promotion regimes for least developed countries,revised
17.6.1,"Number of science and/or technology cooperation agreements and programmes between countries, by type of cooperation",deleted
17.17.1,Amount of United States dollars committed to public-private and civil society partnerships,replaced
17.18.1,"Proportion of sustainable development indicators produced at the national level with full disaggregation when relevant to the target, in accordance with the Fundamental Principles of Official Statistics",replaced
