Value,Disaggregation combinations using this value,Number of indicators
2060048790 (Central South East England),9,1
2060048980 (Central South West England),9,1
2060048990 (South West England),9,1
2060049660 (Severn),9,1
2060049670 (South Anglian),6,1
2060049670 (South East Wye),3,1
2060049680 (Wye),9,1
2060049690 (Wales & Dee),9,1
2060050410 (Mersey),9,1
2060050420 (North West England),9,1
2060050790 (Galloway & Ayrshire),9,1
2060051150 (Clyde),9,1
2060051160 (North West Scotland),9,1
2060052380 (Spey),9,1
"2060052390 (Dee, Scotland)",9,1
2060052660 (Tay),9,1
2060052670 (Firth of Forth),9,1
2060052940 (Tweed),9,1
2060052950 (Northumberland Coast),9,1
2060052960 (Northumbria & East Humber),9,1
2060053240 (North Humber),9,1
2060053250 (Head of Humber Estuary),9,1
2060053260 (South Humber),9,1
2060053270 (North Anglian),9,1
2060053500 (Central Anglian),9,1
2060053510 (South Anglian),9,1
2060053790 (Thames),9,1
2060053800 (South East England),9,1
2060054000 (Outer Hebrides),9,1
2060054130 (Sule Skerry),9,1
2060054140 (Orkney),9,1
2060054780 (Northern Ireland near Garvagh Lough),9,1
2060054790 (Lough Melvin),9,1
2060055310 (Erne),9,1
2060055320 (North West Northern Ireland),9,1
2060055600 (Central Northern Ireland),9,1
2060055610 (East Northern Ireland),9,1
2060059370 (Shetland),9,1
