Value,Disaggregation combinations using this value,Number of indicators
Adjusted net enrolment rate,2,1
Completion rate,12,1
Educational attainment (educational stage completed by population aged 25 years and over),12,1
Educational attainment rate (educational stage completed by population aged 25 years and over),96,1
Gross enrolment ratio,8,1
Gross intake ratio,4,1
Out-of-school-rate,18,1
Participation rate in formal and non-formal education and training in the previous 12 months,4,1
Participation rate in organised learning,1,1
Percentage of students,32,1
Proportion of 15 to 24 year olds,2,1
Proportion of children and young people,4,1
Proportion of population,12,1
Proportion of pupils,4,1
Proportion of students,30,1
Proportion of youth and adults,16,1
