Year,Type of Crime,Sex,Age,Ethnicity,Income,Long Term Disability or Sickness,Limits Activities,Total Household Income,Region,Type of Violence,Type of Sexual Assault,GeoCode,Value
2016,Sexual Assault,Female,16 to 19,,,,,,,,,,8.76312551463021
2016,Sexual Assault,Female,16 to 19,,,,,,,,Indecent exposure or unwanted touching,,8.36287961448072
2016,Sexual Assault,Female,16 to 19,,,,,,,,Rape or assault by penetration (including attempts),,2.85281610058573
2016,Sexual Assault,Female,20 to 24,,,,,,,,,,7.20293266111977
2016,Sexual Assault,Female,20 to 24,,,,,,,,Indecent exposure or unwanted touching,,6.18642478466613
2016,Sexual Assault,Female,20 to 24,,,,,,,,Rape or assault by penetration (including attempts),,2.25556880899986
2016,Sexual Assault,Female,25 to 34,,,,,,,,,,3.24310324914843
2016,Sexual Assault,Female,25 to 34,,,,,,,,Indecent exposure or unwanted touching,,2.87515428990581
2016,Sexual Assault,Female,25 to 34,,,,,,,,Rape or assault by penetration (including attempts),,0.775369777163495
2016,Sexual Assault,Female,35 to 44,,,,,,,,,,1.73740430128504
2016,Sexual Assault,Female,35 to 44,,,,,,,,Indecent exposure or unwanted touching,,1.36310802511046
2016,Sexual Assault,Female,35 to 44,,,,,,,,Rape or assault by penetration (including attempts),,0.456870705883245
2016,Sexual Assault,Female,45 to 54,,,,,,,,,,1.32670004683913
2016,Sexual Assault,Female,45 to 54,,,,,,,,Indecent exposure or unwanted touching,,1.04300170492181
2016,Sexual Assault,Female,45 to 54,,,,,,,,Rape or assault by penetration (including attempts),,0.386926735088751
2016,Sexual Assault,Female,55 to 59,,,,,,,,,,1.18082620387304
2016,Sexual Assault,Female,55 to 59,,,,,,,,Indecent exposure or unwanted touching,,0.994803654983243
2016,Sexual Assault,Female,55 to 59,,,,,,,,Rape or assault by penetration (including attempts),,0.172275207927959
2016,Sexual Assault,Female,,Asian or Asian British,,,,,,,,,1.47119861319926
2016,Sexual Assault,Female,,Asian or Asian British,,,,,,,Indecent exposure or unwanted touching,,1.38377831210489
