Value,Disaggregation combinations using this value,Number of indicators
Disability and/or work-limiting disabled,2,1
Disabled (GSS harmonised),6,2
Disabled,7,4
Equality Act disabled,18,2
Has limiting chronic disability or illness,1,1
Limiting long-term illness or disability,1,1
Limiting long-term illness/disability,2,2
Long-standing illness or disability - Does not limit activities,2,2
Long-standing illness or disability - Limits activities,2,2
Long-standing illness or disability,2,2
Long-term illness or disability,1,1
Long-term illness/disability,5,1
No disability,2,1
No limiting long-term illness or disability,1,1
No limiting long-term illness/disability,2,2
No long-standing illness or disability,2,2
No long-term illness or disability,1,1
No long-term illness/disability,5,1
Non-disabled (GSS harmonised),6,2
Not disabled,1,1
Not Disabled,6,3
Not Equality Act disabled,18,2
