Value,Disaggregation combinations using this value,Number of indicators
"Agriculture, forestry and fishing",2,1
Construction,2,1
"Electricity, gas, steam and air conditioning supply",2,1
Households,2,1
"Manufacture of basic metals and fabricated metal products, except machinery and equipment",2,1
"Manufacture of chemical, pharmaceutical, rubber and plastic products",2,1
Manufacture of coke and refined petroleum products,2,1
"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",2,1
"Manufacture of food products, beverages and tobacco products",2,1
"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",2,1
Manufacture of other non-metallic mineral products,2,1
"Manufacture of paper and paper products, printing and reproduction or recorded media",2,1
"Manufacture of textiles, wearing apparel, leather and related products",2,1
"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",2,1
Mining and quarrying,2,1
Services (except wholesale of waste and scrap),2,1
"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",2,1
