Value,Disaggregation combinations using this value,Number of indicators
Avon and Somerset,1,1
Bedfordshire,1,1
Cambridgeshire,1,1
Cheshire,1,1
City of London,1,1
Cleveland,1,1
Cumbria,1,1
Derbyshire,1,1
Devon and Cornwall,1,1
Dorset,1,1
Durham,1,1
Dyfed-Powys,1,1
Essex,1,1
Gloucestershire,1,1
Greater Manchester,1,1
Gwent,1,1
Hampshire,1,1
Hertfordshire,1,1
Humberside,1,1
Kent,1,1
Lancashire,1,1
Leicestershire,1,1
Lincolnshire,1,1
Merseyside,1,1
Metropolitan Police,1,1
Norfolk,1,1
North Wales,1,1
North Yorkshire,1,1
Northamptonshire,1,1
Northumbria,1,1
Nottinghamshire,1,1
South Wales,1,1
South Yorkshire,1,1
Staffordshire,1,1
Suffolk,1,1
Surrey,1,1
Sussex,1,1
Thames Valley,1,1
Warwickshire,1,1
West Mercia,1,1
West Midlands,1,1
West Yorkshire,1,1
Wiltshire,1,1
