Value,Disaggregation combinations using this value,Number of indicators
Agriculture,16,1
Business enterprise,56,1
Economic Infrastructure & Services,1,1
Education,6,1
Government and Civil Society,1,1
Government,15,1
Health,1,1
Higher education funding councils,1,1
Higher education,15,1
Hospitality and Food Serivces,4,1
Manufacture,4,1
Multisector / Cross-Cutting,1,1
Multisector,1,1
Non-Agriculture,16,1
Other social infrastructure and services,1,1
Overseas,1,1
Private non-profit,15,1
Production Sectors,1,1
Production Services,1,1
Research councils,2,1
Retail,4,1
