Value,Disaggregation combinations using this value,Number of indicators
2211 Medical practitioners,3,1
2212 Psychologists,3,1
2213 Pharmacists,3,1
2214 Ophthalmic opticians,3,1
2215 Dental practitioners,3,1
2217 Medical radiographers,3,1
2218 Podiatrists,3,1
2219 Health professionals n.e.c.,3,1
2221 Physiotherapists,3,1
2222 Occupational therapists,3,1
2223 Speech and language therapists,3,1
2229 Therapy professionals n.e.c.,3,1
2231 Nurses,3,1
2232 Midwives,3,1
3213 Paramedics,3,1
3216 Dispensing opticians,3,1
3217 Pharmaceutical technicians,3,1
3218 Medical and dental technicians,3,1
3219 Health associate professionals n.e.c.,3,1
Managers and proprietors in agriculture and horticulture,1,1
Managers and proprietors in forestry fishing and related services,1,1
