Value,Disaggregation combinations using this value,Number of indicators
Chemical events,1,1
Financing,1,1
Food safety,1,1
Health service provision,1,1
Human resources,1,1
IHR coordination and national IHR focal point functions,1,1
Infection prevention and control (IPC),1,1
Laboratory,1,1
Legislation and financing,1,1
National health emergency framework,1,1
Points of entry,1,1
"Policy, legal and normative instruments to implement IHR",1,1
Radiation emergencies,1,1
Risk communication,1,1
Surveillance,1,1
Zoonotic events and the human–animal interface,1,1
