Value,Disaggregation combinations using this value,Number of indicators
Capital grants from private sector,2,1
Capital transfers to Central government revenue,2,1
Capital transfers to central government,2,1
Current grants from Central government revenue,2,1
Current grants from central government,2,1
Current grants to Central government revenue,2,1
Current grants to central government,2,1
Gross operating surplus,3,1
Interest and dividends,3,1
Market output and output for own final use,1,1
Market output,2,1
National insurance contributions,2,1
Other receipts,3,1
Pension contributions,3,1
Taxes,3,1
