Value,Disaggregation combinations using this value,Number of indicators
Afghanistan,1,1
"Africa, regional",1,1
Albania,1,1
Algeria,1,1
"America, regional",1,1
Angola,1,1
Anguilla,1,1
Antigua and Barbuda,1,1
Argentina,1,1
Armenia,1,1
"Asia, regional",1,1
Azerbaijan,1,1
Bangladesh,1,1
Barbados,1,1
Belarus,1,1
Belize,1,1
Benin,1,1
Bhutan,1,1
Bolivia,1,1
Bosnia-Herzegovina,1,1
Botswana,1,1
Brazil,1,1
Burkina Faso,1,1
Burma,1,1
Burundi,1,1
Cambodia,1,1
Cameroon,1,1
Cape Verde,1,1
Central African Rep.,1,1
"Central Asia, regional",1,1
Chad,1,1
Chile,1,1
China,1,1
Colombia,1,1
Comoros,1,1
"Congo, Rep.",1,1
Costa Rica,1,1
Cote d'Ivoire,1,1
Croatia,1,1
Cuba,1,1
Democratic People's Republic of Korea,1,1
Democratic Republic of the Congo,1,1
Djibouti,1,1
Dominica,1,1
Dominican Republic,1,1
Ecuador,1,1
Egypt,1,1
El Salvador,1,1
Eritrea,1,1
Ethiopia,1,1
"Europe, regional",1,1
"Far East Asia, regional",1,1
Fiji,1,1
Former Yugoslav Republic of Macedonia (FYROM),1,1
Gabon,1,1
Gambia,1,1
Georgia,1,1
Ghana,1,1
Grenada,1,1
Guatemala,1,1
Guinea-Bissau,1,1
Guinea,1,1
Guyana,1,1
Haiti,1,1
Honduras,1,1
India,1,1
Indonesia,1,1
Iran,1,1
Iraq,1,1
Jamaica,1,1
Jordan,1,1
Kazakhstan,1,1
Kenya,1,1
Kiribati,1,1
Kosovo,1,1
Kyrgyz Republic,1,1
Laos,1,1
Lebanon,1,1
Lesotho,1,1
Liberia,1,1
Libya,1,1
Madagascar,1,1
Malawi,1,1
Malaysia,1,1
Maldives,1,1
Mali,1,1
Marshall Islands,1,1
Mauritania,1,1
Mauritius,1,1
Mexico,1,1
Micronesia,1,1
"Middle East, regional",1,1
Moldova,1,1
Mongolia,1,1
Montenegro,1,1
Montserrat,1,1
Morocco,1,1
Mozambique,1,1
Myanmar,1,1
Namibia,1,1
Nauru,1,1
Nepal,1,1
Nicaragua,1,1
Niger,1,1
Nigeria,1,1
"North & Central America, regional",1,1
"North of Sahara, regional",1,1
"Oceania, regional",1,1
Oman,1,1
Pakistan,1,1
Palau,1,1
Panama,1,1
Papua New Guinea,1,1
Paraguay,1,1
Peru,1,1
Philippines,1,1
Rwanda,1,1
Samoa,1,1
Sao Tome & Principe,1,1
Senegal,1,1
Serbia,1,1
Seychelles,1,1
Sierra Leone,1,1
Solomon Islands,1,1
Somalia,1,1
South Africa,1,1
"South America, regional",1,1
"South Asia, regional",1,1
"South & Central Asia, regional",1,1
"South of Sahara, regional",1,1
South Sudan,1,1
Sri Lanka,1,1
St. Helena,1,1
St. Kitts-Nevis,1,1
St. Lucia,1,1
St.Vincent & Grenadines,1,1
States Ex-Yugoslavia unspecified,1,1
Sudan,1,1
Suriname,1,1
Swaziland,1,1
Syria,1,1
Tajikistan,1,1
Tanzania,1,1
Thailand,1,1
Timor-Leste,1,1
Togo,1,1
Tonga,1,1
Trinidad & Tobago,1,1
Tunisia,1,1
Turkey,1,1
Turkmenistan,1,1
Tuvalu,1,1
Uganda,1,1
Ukraine,1,1
Uruguay,1,1
Uzbekistan,1,1
Vanuatu,1,1
Venezuela,1,1
Vietnam,1,1
West Bank & Gaza Strip,1,1
"West Indies, regional",1,1
Yemen,1,1
Zambia,1,1
Zimbabwe,1,1
