Value,Disaggregation combinations using this value,Number of indicators
12 to 13,92,1
13 to 14,25,1
Age,1,1
By 1st birthday,273,1
By 2nd birthday,413,1
By 5th birthday,449,1
Diphtheria Tetanus Polio Pertussis (booster),15,1
Diphtheria Tetanus Polio Pertussis Hib (primary),42,1
Hib Meningococcal group C (booster),29,1
Hib (primary),1,1
Human papillomavirus (2 doses),5,1
Human papillomavirus (3 doses),5,1
Human papillomavirus (At least 1 dose),15,1
Human papillomavirus (At least 2 doses),5,1
Measles mumps rubella (first and second dose),15,1
Measles mumps rubella (first dose),29,1
Meningococcal group B (booster),14,1
Meningococcal group B (primary),14,1
Meningococcal group C (primary),10,1
Pneumococcal disease (booster),15,1
Pneumococcal disease (primary),14,1
Rotavirus (primary),14,1
