Value,Number of indicators
Aquastat,1
"Border Force, UK Visas and Immigration, and Immigration Enforcement",2
"Department for Business, Energy & Industrial Strategey",2
"Department for Business, Energy & Industrial Strategy (BEIS)",1
"Department for Digital, Culture, Media & Sport",1
Department for Education (DfE),4
Department for Education,2
"Department for Environment, Food and Rural Affairs (DEFRA)",1
"Department for Environment, Food and Rural Affairs",2
"Department for Environment, Food & Rural Affairs (DEFRA) & Air Quality and Public Health - UK Health Security Agency",1
"Department for Environment, Food & Rural Affairs (DEFRA)",1
"Department for Environment, Food & Rural Affairs (Defra)",2
"Department for Levelling Up, Housing and Communities",1
Department for Transport (DfT) & Civil Aviation Authority,1
Department for Transport (DfT),1
Department for Work and Pensions (DWP),3
Effects of Taxes and Benefits - Office for National Statistics,1
"European Commission's Joint Research Centre, UN Environment, and Google",1
European Quality of Life Survey,1
Eurostat,6
Food & Agriculture Organisation (FAO),1
Food and Agriculture Organization (FAO),1
Food Standards Agency and Public Health England,1
"Foreign, Commonwealth and Development Office (FCDO) (formerly Department for International Development)",1
"Foreign, Commonwealth and Development Office (FCDO)",1
"Foreign, Commonwealth & Development Office (FCDO)",12
"Foreign, Commonwealth & Development Office (formerly Department for International Development)",1
"Foreign, Commonwealth & Development Office",2
Forest Research,2
Health and Safety Executive (HSE),1
HM Treasury,1
Home Office - Homicide Index,1
Home Office - National Referral Mechanism,2
House of Commons Library,1
Integrated Water Resources Management (IWRM) International,1
International Labour Organization (ILO),1
International monetary fund (IMF),1
International Organization for Migration,1
Joint Nature Conservation Committee (JNCC),2
"Joint Nature Conservation Committee (JNCC)/Department for Environment, Food & Rural Affairs (Defra)",1
LINK,1
Marine Conservation Society (MCS) and Office for National Statistics (ONS),1
Ministry of Defence,1
Ministry of Justice,1
National Health Service (NHS) Digital,1
National Perinatal Epidemiology Unit (NPEU),1
NHS Digital,4
Nomis,3
Ofcom,1
Office for Health Improvement and Disparities (OHID),1
"Office for National Statistics (ONS), Ricardo Energy and Environment",1
Office for National Statistics (ONS),46
"Office For National Statistics, Ordnance Survey",1
"Office for National Statistics, Ricardo Energy and Environment",1
Office for National Statistics,13
Ordnance Survey,1
Prindex,1
Public Health England (PHE),1
Public Health England,1
UK Government,1
UK Health Security Agency (UKHSA),1
UN SDG Global database (UNSDG),1
UN SDG indicator database,1
UN Women,1
UNEP,1
UNESCO Institute for Statistics and The World Bank,1
UNESCO’s Sections for Education for Sustainable Development and Global Citizenship and Peace Education.,1
UNICEF,1
United Kingdom Health Security Agency (UKHSA),3
"United Nations Educational, Scientific and Cultural Organization Institute for Statistics (UNESCO-UIS)",1
United Nations Framework Convention on Climate Change (UNFCCC),1
United Nations Human Rights Council (UNHRC),1
United Nations Statistics Division (UNSD),2
United Nations Statistics Division,1
United Nations (UN) and Ofcom,1
United Nations,2
Waste and Resource Action Programme,1
"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",1
"WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene",2
World Bank (WB),2
World Bank,2
World Health Organisation (WHO),3
World Health Organisation,2
World Tourism Organization (UNWTO),1
