Value,Number of indicators
"Age-standardised mortality rates per 100,000 population",1
Agriculture Orientation Index (AOI),1
Annual mean (micrograms per cubic meter),1
"Birth rate per 1,000 women in age group",1
Calories per day (kcal/day),1
Compliance with meeting commitments of agreement (%),1
Cumulative Enrichment Index (CEI),1
GBP (£000s),1
"GBP, constant USD at 2020 prices",3
GBP (£ Millions),1
GBP (£) per capita,1
"GBP (£), Percentage of total expenditure (%)",1
GBP (£ thousands) and Constant USD ($ thousands),1
"GBP (£ thousands), constant USD in 2020 prices ($ thousands)",1
"GBP (£ thousands), constant USD ($ thousands) at 2020 prices",2
"GBP (£ thousands), constant USD ($ thousands)",1
"GBP (thousands), USD (thousands)",1
GBP (£),2
Gini Coefficient,1
"GPB (£ Millions), USD ($ Millions)",2
"Hectares, Percentage (%), Growth rate (%)",1
Index (between 0.000 and 1.000),1
Index,2
"Kilogrammes per person, kilotonnes",1
Litres pure alcohol,1
Mean quality rating,1
Median count,1
"Million metric tons, Tons per capita, Tons per GDP (£m), Kilograms per constant USD ($) expressed in 2020 prices",2
Million tonnes carbon dioxide equivalent (MtCO2e),1
"Million tonnes, Tonnes per capita, Tonnes per GDP ($m)",2
N/A,1
Number of cases,1
Number of children,1
"Number of deaths and age-standardised mortality rates per 100,000 population",3
Number of offences,2
"Number of refugees per 100,000 population",1
Number of seizures,2
Number of tables,1
"Number per 100,000 adults",1
"Number per 1,000,000",1
"Number, Percentage (%)",1
"Number (Thousands), Tonnes (Thousands)",1
Number,4
Percentage change (%) and Square kilometres (km²),1
"Percentage (%), GBP (£)",1
Percentage (%) / Million hectares,1
Percentage (%),92
Percentage(%),1
Percentage,1
"Rate per 100 population, number",1
"Rate per 1,000 live births",2
"Rate per 1,000 women",1
"Rate per 10,000 population",1
"Rate per 100,000 maternities, Rate per 100,000 live births",1
"Rate per 100,000 population, Number of cases, Percentage of total cases",1
"Rate per 100,000 population",9
"Rate per 100,000 workers",1
Red List Index,1
square kilometres / Percentage (%),1
"Square Km, Index",1
Terajoules per million pounds (TJ/£ million),1
Thousand Tonnes per Million GBP (£),1
Thousands of women,2
USD ($ millions),1
Watts per capita,2
