Value,Disaggregation combinations using this value,Number of indicators
Accommodation and food service activities #,1,1
Accommodation and food services,5,3
Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,2,2
Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use #,1,1
Activities of households as employers,1,1
Administrative and support activities,8,1
Administrative and support service activities #,1,1
Administrative and support service activities,2,2
"Agriculture, forestry and fishing",8,4
"Arts, entertainment and recreation",8,3
"Arts, entertainment and recreation #",1,1
Construction,8,4
Education,3,3
Education #,1,1
"Electricity, gas, steam and air conditioning supply",5,3
"Electricity, gas, steam and air conditioning supply #",1,1
Financial and insurance activities #,1,1
Financial and insurance activities,2,2
Financial and insurance,6,1
"Gas, electricity and water supply; sewerage, waste and recycling *",1,1
Human health and social activities,5,1
Human health and social work activities #,1,1
Human health and social work activities,2,2
Information and communication,12,3
Information and communication #,1,1
Manufacturing,65,4
Mining and quarrying,10,4
Other service activities,6,3
Other service activities #,1,1
"Professional, scientific and technical activities",16,3
"Professional, scientific and technical activities #",1,1
Public administration and defence; compulsory social security,3,3
Public administration and defence; compulsory social security #,1,1
Real estate activities #,1,1
Real estate activities,2,2
Real estate,4,1
Service industries *,1,1
Transport and storage,2,2
Transportation and storage,8,1
Transportation and storage #,1,1
"Water supply; sewerage, waste management and remediation activities",7,3
"Water supply; sewerage, waste management and remediation activities #",1,1
Wholesale and retail trade; repair of motor vehicles and motorcycles,6,3
Wholesale and retail trade; repair of motor vehicles and motorcycles #,1,1
