Value,Disaggregation combinations using this value,Number of indicators
"Adjusted net enrolment rate, one year before the official primary entry age, adjusted gender parity index (GPIA)",2,1
"Adjusted net enrolment rate, one year before the official primary entry age",1,1
"Completion rate, lower secondary education, adjusted gender parity index (GPIA)",2,1
"Completion rate, lower secondary education, adjusted location parity index (LPIA)",2,1
"Completion rate, primary education, adjusted gender parity index (GPIA)",2,1
"Completion rate, primary education, adjusted location parity index (LPIA)",2,1
"Completion rate, upper secondary education, adjusted gender parity index (GPIA)",2,1
"Completion rate, upper secondary education, adjusted location parity index (LPIA)",2,1
"Educational attainment: at least some primary (ISCED 1), population 25+ years, adjusted gender parity index (GPIA)",2,1
"Educational attainment: at least some primary (ISCED 1), population 25+ years, adjusted location parity index (LPIA)",2,1
"Educational attainment: at least some primary (ISCED 1), population 25+ years, female, adjusted location parity index (LPIA)",2,1
"Educational attainment: at least some primary (ISCED 1), population 25+ years, male, adjusted location parity index (LPIA)",2,1
"Educational attainment: at least some primary (ISCED 1), population 25+ years, rural, adjusted gender parity index (GPIA)",2,1
"Educational attainment: at least some primary (ISCED 1), population 25+ years, urban, adjusted gender parity index (GPIA)",2,1
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, adjusted gender parity index (GPIA)",2,1
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, adjusted location parity index (LPIA)",2,1
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, female, adjusted location parity index (LPIA)",2,1
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, male, adjusted location parity index (LPIA)",2,1
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, rural, adjusted gender parity index (GPIA)",2,1
"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, urban, adjusted gender parity index (GPIA)",2,1
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, adjusted gender parity index (GPIA)",2,1
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, adjusted location parity index (LPIA)",2,1
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, female, adjusted location parity index (LPIA)",2,1
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, male, adjusted location parity index (LPIA)",2,1
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, rural, adjusted gender parity index (GPIA)",2,1
"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, urban, adjusted gender parity index (GPIA)",2,1
