Indicator,Reporting status,UN designated tier,UN custodian agency,Non-statistical,Show map,Geographical coverage,Units,Graph type,Source
#1-1-1,complete,Tier I,"World Bank (WB), International Labour Organisation (ILO)",,,United Kingdom,Percentage (%),line,World Bank
#1-2-1,complete,Tier I,World Bank (WB),,,United Kingdom,Percentage (%),line,Eurostat
#1-2-2,complete,Tier II,"United Nations Children's Fund (UNICEFF), World Bank (WB), United Nations Development Programme (UNDP)",,,United Kingdom,Percentage (%),line,Eurostat
#1-3-1,complete,Tier II,"International Labour Organization (ILO), World Bank (WB)",,,United Kingdom,Percentage (%),line,International Labour Organization (ILO)
#1-4-1,complete,Tier I,UN-Habitat,,,United Kingdom,Percentage (%),line,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)"
#1-4-2,complete,Tier II,World Bank (WB),,,United Kingdom,Percentage (%),bar,Prindex
#1-5-1,complete,Tier I,United Nations International Strategy for Disaster Reduction (UNISDR),,,England and Wales,"Number of deaths and age-standardised mortality rates per 100,000 population",line,Nomis
#1-5-2,notstarted,Tier II,United Nations International Strategy for Disaster Reduction (UNISDR),,,,,line,
#1-5-3,complete,Tier II,United Nations International Strategy for Disaster Reduction (UNISDR),True,,United Kingdom,,line,
#1-5-4,complete,Tier II,United Nations International Strategy for Disaster Reduction (UNISDR),True,,,,line,
#1-a-1,complete,Tier I,Organisation for Economic Co-operation and Development (OECD),,,United Kingdom,Percentage (%),line,"Foreign, Commonwealth and Development Office (FCDO)"
#1-a-2,complete,Tier II,UNESCO Institute for Statistics (UNESCO-UIS),,,United Kingdom,Percentage (%),line,HM Treasury
#1-b-1,complete,Tier II,United Nations Children’s Fund (UNICEF),,,United Kingdom,Percentage (%),line,Effects of Taxes and Benefits - Office for National Statistics
#10-1-1,complete,Tier II,World Bank (WB),,,United Kingdom,Percentage (%),line,Office for National Statistics (ONS)
#10-2-1,complete,Tier II,"United Nations Children's Fund (UNICEF), World Bank (WB)",,,United Kingdom,Percentage (%),line,Eurostat
#10-3-1,complete,Tier II,Office of the United Nations High Commissioner for Human Rights (OHCHR),,,England and Wales,Percentage (%),line,Office for National Statistics (ONS)
#10-4-1,complete,Tier I,International Labour Organization (ILO),,,United Kingdom,Percentage (%),line,Office for National Statistics (ONS)
#10-4-2,complete,Tier II,The World Bank Group,,,United Kingdom,Gini Coefficient,line,Office for National Statistics (ONS)
#10-5-1,complete,Tier I,International Monetary Fund (IMF),,,United Kingdom,Percentage (%),line,International Monetary Fund (IMF)
#10-6-1,complete,Tier I,United Nations Department of Economic and Social Affairs (DESA) / Financing for Development Office (FFDO),,,United Kingdom,Percentage (%),line,United Nations Statistics Division (UNSD)
#10-7-1,notstarted,Tier II,"International Labour Organization (ILO), World Bank (WB)",,,,,line,
#10-7-2,notstarted,Tier II,"United Nations Department of Economic and Social Affairs (DESA), International Organization for Migration (IOM)",True,,,,line,
#10-7-3,complete,Tier I,International Organization for Migration,,,English Channel,Number,line,International Organization for Migration
#10-7-4,complete,Tier I,UN High Commissioner for Refugees (UNHCR),,,United Kingdom,"Number of refugees per 100,000 population",line,United Nations Human Rights Council (UNHRC)
#10-a-1,complete,Tier I,"The International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD), World Trade Organization (WTO)",,,United Kingdom,Percentage (%),line,Eurostat
#10-b-1,complete,Tier I,Organisation for Economic Co-operation and Development (OECD),,,United Kingdom,GBP (£000s),line,"Foreign, Commonwealth & Development Office (FCDO)"
#10-c-1,complete,Tier I,World Bank (WB),,,United Kingdom,Percentage (%),line,World Bank (WB)
#11-1-1,complete,Tier I,United Nations Human Settlements Programme (UN-Habitat),,,England,Percentage (%),line,"Department for Levelling Up, Housing and Communities (DLUHC)"
#11-2-1,notstarted,Tier II,United Nations Human Settlements Programme (UN-Habitat),,,,,line,
#11-3-1,complete,Tier II,United Nations Human Settlements Programme (UN-Habitat),,True,Great Britain,,bar,Ordnance Survey
#11-3-2,notstarted,Tier II,United Nations Human Settlements Programme (UN-Habitat),,,,,line,
#11-4-1,complete,Tier II,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",,,United Kingdom,GBP (£) per capita,line,Office for National Statistics (ONS)
#11-5-1,complete,Tier I,United Nations Office for Disaster Reduction (UNISDR),,,England and Wales,"Number of deaths and age-standardised mortality rates per 100,000 population",line,Nomis
#11-5-2,notstarted,Tier II,United Nations International Strategy for Disaster Reduction (UNISDR),,,,,line,
#11-6-1,complete,Tier II,"United Nations Human Settlements Programme (UN-Habitat), United Nations Statistics Division (UNSD)",,True,England,Percentage (%),line,"Department for Environment, Food and Rural Affairs"
#11-6-2,complete,Tier I,World Health Organization (WHO),,,United Kingdom,Annual mean (micrograms per cubic meter),line,World Health Organisation (WHO)
#11-7-1,complete,Tier II,United Nations Human Settlements Programme (UN-Habitat),,,Great Britain,Percentage (%),bar,"Office For National Statistics, Ordnance Survey"
