Value,Disaggregation combinations using this value,Number of indicators
Acute respiratory infections,42,1
Diarrhoea,42,1
Drowning,4,1
Exposure to excessive natural cold,27,3
Exposure to excessive natural heat,27,3
Exposure to other and unspecified forces of nature,27,3
Exposure to sunlight,27,3
Intestinal nematode infections,42,1
Mixed or unknown,4,1
Protein-energy malnutrition,42,1
Sickness/lack of access to adequate healthcare,4,1
Vehicle accident/death linked to hazardous transport,4,1
"Victim of avalanche, landslide and other earth movements",27,3
Victim of cataclysmic storm,27,3
Victim of earthquake,27,3
Victim of flood,27,3
Victim of lightning,27,3
Victim of volcanic eruption,27,3
Violence,4,1
