Year,Units,Type of expenditure,Area of spending,Value
2000,General government expenditure (GBP (£million) per capita),,,316.798021944
2001,General government expenditure (GBP (£million) per capita),,,287.50021145940826
2002,General government expenditure (GBP (£million) per capita),,,314.60927774792515
2003,General government expenditure (GBP (£million) per capita),,,346.4477410721921
2004,General government expenditure (GBP (£million) per capita),,,347.1536470148656
2005,General government expenditure (GBP (£million) per capita),,,523.7422885358026
2006,General government expenditure (GBP (£million) per capita),,,421.9172046669987
2007,General government expenditure (GBP (£million) per capita),,,452.9746848861121
2008,General government expenditure (GBP (£million) per capita),,,460.6801911238067
2009,General government expenditure (GBP (£million) per capita),,,490.95333317271786
2010,General government expenditure (GBP (£million) per capita),,,492.48320971327047
2011,General government expenditure (GBP (£million) per capita),,,467.5192106830834
2012,General government expenditure (GBP (£million) per capita),,,452.4448630405777
2013,General government expenditure (GBP (£million) per capita),,,416.98320118179817
2014,General government expenditure (GBP (£million) per capita),,,431.7860946672281
2015,General government expenditure (GBP (£million) per capita),,,424.0823222239288
2016,General government expenditure (GBP (£million) per capita),,,408.0849255347832
2017,General government expenditure (GBP (£million) per capita),,,416.85215974512494
2000,General government expenditure (GBP (£million) per capita),Environmental protection,,110.14483893482505
2001,General government expenditure (GBP (£million) per capita),Environmental protection,,119.68602507062744
2002,General government expenditure (GBP (£million) per capita),Environmental protection,,133.78095432210858
2003,General government expenditure (GBP (£million) per capita),Environmental protection,,148.3985532398674
2004,General government expenditure (GBP (£million) per capita),Environmental protection,,152.6928927913742
2005,General government expenditure (GBP (£million) per capita),Environmental protection,,313.1760721562967
2006,General government expenditure (GBP (£million) per capita),Environmental protection,,205.82930963337063
2007,General government expenditure (GBP (£million) per capita),Environmental protection,,228.5258589901026
2008,General government expenditure (GBP (£million) per capita),Environmental protection,,219.2359576732585
2009,General government expenditure (GBP (£million) per capita),Environmental protection,,242.8506035126605
2010,General government expenditure (GBP (£million) per capita),Environmental protection,,245.1262358686733
2011,General government expenditure (GBP (£million) per capita),Environmental protection,,229.7855261349038
2012,General government expenditure (GBP (£million) per capita),Environmental protection,,219.7629699395652
2013,General government expenditure (GBP (£million) per capita),Environmental protection,,212.9139842478906
2014,General government expenditure (GBP (£million) per capita),Environmental protection,,229.1599583880316
2015,General government expenditure (GBP (£million) per capita),Environmental protection,,225.57210873905697
2016,General government expenditure (GBP (£million) per capita),Environmental protection,,218.8486795505125
2017,General government expenditure (GBP (£million) per capita),Environmental protection,,222.19799455483172
2000,General government expenditure (GBP (£million) per capita),Environmental protection,Waste management,83.82283764759426
2001,General government expenditure (GBP (£million) per capita),Environmental protection,Waste management,91.72263292338404
2002,General government expenditure (GBP (£million) per capita),Environmental protection,Waste management,99.299764005141
2003,General government expenditure (GBP (£million) per capita),Environmental protection,Waste management,107.78597742665173
2004,General government expenditure (GBP (£million) per capita),Environmental protection,Waste management,117.36368731484694
2005,General government expenditure (GBP (£million) per capita),Environmental protection,Waste management,266.31552985849146
2006,General government expenditure (GBP (£million) per capita),Environmental protection,Waste management,162.29608184509866
2007,General government expenditure (GBP (£million) per capita),Environmental protection,Waste management,177.59556157869244
2008,General government expenditure (GBP (£million) per capita),Environmental protection,Waste management,173.41218106942634
2009,General government expenditure (GBP (£million) per capita),Environmental protection,Waste management,187.18127865982447
2010,General government expenditure (GBP (£million) per capita),Environmental protection,Waste management,183.7650076880791
2011,General government expenditure (GBP (£million) per capita),Environmental protection,Waste management,179.41031933267072
2012,General government expenditure (GBP (£million) per capita),Environmental protection,Waste management,170.91280119299896
2013,General government expenditure (GBP (£million) per capita),Environmental protection,Waste management,168.92413623125557
2014,General government expenditure (GBP (£million) per capita),Environmental protection,Waste management,177.6094171847522
2015,General government expenditure (GBP (£million) per capita),Environmental protection,Waste management,172.999539241284
2016,General government expenditure (GBP (£million) per capita),Environmental protection,Waste management,169.78404553977953
2017,General government expenditure (GBP (£million) per capita),Environmental protection,Waste management,173.66694831330008
2000,General government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
2001,General government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.1015005159609561
2002,General government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.2358264115474087
2003,General government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.2682911696991953
2004,General government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.4503723077744268
2005,General government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.9435008516336634
2006,General government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.772681913160417
2007,General government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.1956975885164655
2008,General government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.2588000090580003
2009,General government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.4176002441355274
2010,General government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.2230737975923963
2011,General government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.1580150777987235
2012,General government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.2197629699395651
2013,General government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
2014,General government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
2015,General government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
2016,General government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
2017,General government expenditure (GBP (£million) per capita),Environmental protection,Waste water management,0.0
