Year,Series,Units,Type of partner abuse,Abuse sub-category,Age,Ethnicity,Ethnic group,Disability status,Country of birth,Region,Urban or Rural,Sexual orientation,Gender identity,Highest qualification,Household income,Unit multiplier,Observation status,GeoCode,Value
2004/05,Women aged 16 to 59,Percentage (%),Non-sexual,Force,,,,,,,,,,,,Units,Normal value,,3.5634181351962
2004/05,Women aged 16 to 59,Percentage (%),Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,Units,Normal value,,5.854566667074447
2004/05,Women aged 16 to 59,Percentage (%),Non-sexual,Threats,,,,,,,,,,,,Units,Normal value,,4.183591184719106
2004/05,Women aged 16 to 59,Percentage (%),Non-sexual,Threats or force,,,,,,,,,,,,Units,Normal value,,5.604157963269262
2004/05,Women aged 16 to 59,Percentage (%),Non-sexual,,,,,,,,,,,,,Units,Normal value,,8.625293705388907
2004/05,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,,,,Units,Normal value,,0.4636297297425751
2004/05,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,Units,Normal value,,0.2634375632684015
2004/05,Women aged 16 to 59,Percentage (%),Sexual (including attempts),,,,,,,,,,,,,Units,Normal value,,0.4828248886613274
2004/05,Women aged 16 to 59,Percentage (%),Stalking by a partner/ex-partner,,,,,,,,,,,,,Units,Normal value,,1.1804055592919838
2004/05,Women aged 16 to 59,Percentage (%),,,,,,,,,,,,,,Units,Normal value,,8.65073932620876
2005/06,Women aged 16 to 59,Percentage (%),Non-sexual,Force,,,,,,,,,,,,Units,Normal value,,3.889816990341802
2005/06,Women aged 16 to 59,Percentage (%),Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,Units,Normal value,,5.634773292338013
2005/06,Women aged 16 to 59,Percentage (%),Non-sexual,Threats,,,,,,,,,,,,Units,Normal value,,4.771790191188417
2005/06,Women aged 16 to 59,Percentage (%),Non-sexual,Threats or force,,,,,,,,,,,,Units,Normal value,,6.108059145189841
2005/06,Women aged 16 to 59,Percentage (%),Non-sexual,,,,,,,,,,,,,Units,Normal value,,8.777104856651162
2005/06,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,,,,Units,Normal value,,0.6214529325641317
2005/06,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,Units,Normal value,,0.2780808624816958
2005/06,Women aged 16 to 59,Percentage (%),Sexual (including attempts),,,,,,,,,,,,,Units,Normal value,,0.6255429337042192
2005/06,Women aged 16 to 59,Percentage (%),Stalking by a partner/ex-partner,,,,,,,,,,,,,Units,Normal value,,1.4255795917877676
2005/06,Women aged 16 to 59,Percentage (%),,,,,,,,,,,,,,Units,Normal value,,9.225465238632005
2006/07,Women aged 16 to 59,Percentage (%),Non-sexual,Force,,,,,,,,,,,,Units,Normal value,,3.4808633995224074
2006/07,Women aged 16 to 59,Percentage (%),Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,Units,Normal value,,5.495721993656177
2006/07,Women aged 16 to 59,Percentage (%),Non-sexual,Threats,,,,,,,,,,,,Units,Normal value,,4.6524044565515
2006/07,Women aged 16 to 59,Percentage (%),Non-sexual,Threats or force,,,,,,,,,,,,Units,Normal value,,5.908326457471899
2006/07,Women aged 16 to 59,Percentage (%),Non-sexual,,,,,,,,,,,,,Units,Normal value,,8.644851039400082
2006/07,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,,,,Units,Normal value,,0.5411480589081344
2006/07,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,Units,Normal value,,0.3103073721772985
2006/07,Women aged 16 to 59,Percentage (%),Sexual (including attempts),,,,,,,,,,,,,Units,Normal value,,0.5487955653666694
2006/07,Women aged 16 to 59,Percentage (%),Stalking by a partner/ex-partner,,,,,,,,,,,,,Units,Normal value,,1.3627513533462998
2006/07,Women aged 16 to 59,Percentage (%),,,,,,,,,,,,,,Units,Normal value,,8.697371257098943
2007/08,Women aged 16 to 59,Percentage (%),Non-sexual,Force,,,,,,,,,,,,Units,Normal value,,2.9385539302063552
2007/08,Women aged 16 to 59,Percentage (%),Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,Units,Normal value,,5.349678028923066
2007/08,Women aged 16 to 59,Percentage (%),Non-sexual,Threats,,,,,,,,,,,,Units,Normal value,,3.972830448563644
2007/08,Women aged 16 to 59,Percentage (%),Non-sexual,Threats or force,,,,,,,,,,,,Units,Normal value,,4.61994991949354
2007/08,Women aged 16 to 59,Percentage (%),Non-sexual,,,,,,,,,,,,,Units,Normal value,,7.538236298450419
2007/08,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,,,,Units,Normal value,,0.4885994193608259
2007/08,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,Units,Normal value,,0.2537771390430153
2007/08,Women aged 16 to 59,Percentage (%),Sexual (including attempts),,,,,,,,,,,,,Units,Normal value,,0.5107272828684367
2008/09,Women aged 16 to 59,Percentage (%),Non-sexual,Force,,,,,,,,,,,,Units,Normal value,,2.851179061413502
2008/09,Women aged 16 to 59,Percentage (%),Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,Units,Normal value,,4.197981733493329
2008/09,Women aged 16 to 59,Percentage (%),Non-sexual,Threats,,,,,,,,,,,,Units,Normal value,,3.3439634222330987
2008/09,Women aged 16 to 59,Percentage (%),Non-sexual,Threats or force,,,,,,,,,,,,Units,Normal value,,4.45860265683536
2008/09,Women aged 16 to 59,Percentage (%),Non-sexual,,,,,,,,,,,,,Units,Normal value,,6.538726123384942
2008/09,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,,,,Units,Normal value,,0.2686457351589055
2008/09,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,Units,Normal value,,0.2238318396943665
