Year,Flow of Official Development Assistance (ODA),Aid sub-category (DAC 5 code),Aid description (CRS code),Observation status,Unit multiplier,Unit measure,Value
2009,Bilateral,Basic health (122),Basic health care (12220),Undefined,Thousands,GBP (£),58976.49
2009,Bilateral,Basic health (122),Basic health infrastructure (12230),Undefined,Thousands,GBP (£),0.0
2009,Bilateral,Basic health (122),Basic nutrition (12240),Undefined,Thousands,GBP (£),12419.67
2009,Bilateral,Basic health (122),Health education (12261),Undefined,Thousands,GBP (£),666.58
2009,Bilateral,Basic health (122),Health personnel development (12281),Undefined,Thousands,GBP (£),1758.18
2009,Bilateral,Basic health (122),Infectious disease control (12250),Undefined,Thousands,GBP (£),118305.99
2009,Bilateral,Basic health (122),Malaria control (12262),Undefined,Thousands,GBP (£),42243.5
2009,Bilateral,Basic health (122),Tuberculosis control (12263),Undefined,Thousands,GBP (£),18346.57
2009,Bilateral,Basic health (122),,Undefined,Thousands,GBP (£),252716.98
2009,Bilateral,"Health, general (121)",Health policy and administrative management (12110),Undefined,Thousands,GBP (£),119081.61
2009,Bilateral,"Health, general (121)",Medical education/training (12181),Undefined,Thousands,GBP (£),0.0
2009,Bilateral,"Health, general (121)",Medical research (12182),Undefined,Thousands,GBP (£),20989.18
2009,Bilateral,"Health, general (121)",Medical services (12191),Undefined,Thousands,GBP (£),605.33
2009,Bilateral,"Health, general (121)",,Undefined,Thousands,GBP (£),140676.12
2009,Bilateral,,,Undefined,Thousands,GBP (£),393393.1
2010,Bilateral,Basic health (122),Basic health care (12220),Undefined,Thousands,GBP (£),64840.53884
2010,Bilateral,Basic health (122),Basic health infrastructure (12230),Undefined,Thousands,GBP (£),0.0
2010,Bilateral,Basic health (122),Basic nutrition (12240),Undefined,Thousands,GBP (£),24688.3754
2010,Bilateral,Basic health (122),Health education (12261),Undefined,Thousands,GBP (£),709.728999999999
2010,Bilateral,Basic health (122),Health personnel development (12281),Undefined,Thousands,GBP (£),3598.13591
2010,Bilateral,Basic health (122),Infectious disease control (12250),Undefined,Thousands,GBP (£),63523.59023
2010,Bilateral,Basic health (122),Malaria control (12262),Undefined,Thousands,GBP (£),90481.61482
2010,Bilateral,Basic health (122),Tuberculosis control (12263),Undefined,Thousands,GBP (£),21407.73111
2010,Bilateral,Basic health (122),,Undefined,Thousands,GBP (£),269249.71531
2010,Bilateral,"Health, general (121)",Health policy and administrative management (12110),Undefined,Thousands,GBP (£),123280.400345
2010,Bilateral,"Health, general (121)",Medical education/training (12181),Undefined,Thousands,GBP (£),0.0
2010,Bilateral,"Health, general (121)",Medical research (12182),Undefined,Thousands,GBP (£),55607.68739
2010,Bilateral,"Health, general (121)",Medical services (12191),Undefined,Thousands,GBP (£),0.0
2010,Bilateral,"Health, general (121)",,Undefined,Thousands,GBP (£),178888.087735
2010,Bilateral,,,Undefined,Thousands,GBP (£),448137.803045
2010,Multilateral,Basic health (122),Basic health care (12220),Undefined,Thousands,GBP (£),54269.4996216387
2010,Multilateral,Basic health (122),Basic health infrastructure (12230),Undefined,Thousands,GBP (£),2654.21910924399
2010,Multilateral,Basic health (122),Basic nutrition (12240),Undefined,Thousands,GBP (£),5201.48091908809
2010,Multilateral,Basic health (122),Health education (12261),Undefined,Thousands,GBP (£),1339.49064621039
2010,Multilateral,Basic health (122),Health personnel development (12281),Undefined,Thousands,GBP (£),2099.83109222915
2010,Multilateral,Basic health (122),Infectious disease control (12250),Undefined,Thousands,GBP (£),17041.6123910113
2010,Multilateral,Basic health (122),Malaria control (12262),Undefined,Thousands,GBP (£),97108.4327742428
2010,Multilateral,Basic health (122),Tuberculosis control (12263),Undefined,Thousands,GBP (£),52181.182180078
2010,Multilateral,Basic health (122),,Undefined,Thousands,GBP (£),231895.748733742
2010,Multilateral,"Health, general (121)",Health policy and administrative management (12110),Undefined,Thousands,GBP (£),54001.6960353962
2010,Multilateral,"Health, general (121)",Medical education/training (12181),Undefined,Thousands,GBP (£),1875.03699657601
2010,Multilateral,"Health, general (121)",Medical research (12182),Undefined,Thousands,GBP (£),613.818340722377
2010,Multilateral,"Health, general (121)",Medical services (12191),Undefined,Thousands,GBP (£),7313.34073142738
2010,Multilateral,"Health, general (121)",,Undefined,Thousands,GBP (£),63803.892104122
2010,Multilateral,,,Undefined,Thousands,GBP (£),295699.640837864
2010,,Basic health (122),Basic health care (12220),Undefined,Thousands,GBP (£),119110.038461638
2010,,Basic health (122),Basic health infrastructure (12230),Undefined,Thousands,GBP (£),2654.21910924399
2010,,Basic health (122),Basic nutrition (12240),Undefined,Thousands,GBP (£),29889.8563190881
2010,,Basic health (122),Health education (12261),Undefined,Thousands,GBP (£),2049.21964621039
2010,,Basic health (122),Health personnel development (12281),Undefined,Thousands,GBP (£),5697.96700222915
2010,,Basic health (122),Infectious disease control (12250),Undefined,Thousands,GBP (£),80565.2026210113
2010,,Basic health (122),Malaria control (12262),Undefined,Thousands,GBP (£),187590.047594242
2010,,Basic health (122),Tuberculosis control (12263),Undefined,Thousands,GBP (£),73588.913290078
2010,,Basic health (122),,Undefined,Thousands,GBP (£),501145.464043742
2010,,"Health, general (121)",Health policy and administrative management (12110),Undefined,Thousands,GBP (£),177282.096380396
2010,,"Health, general (121)",Medical education/training (12181),Undefined,Thousands,GBP (£),1875.03699657601
2010,,"Health, general (121)",Medical research (12182),Undefined,Thousands,GBP (£),56221.5057307223
2010,,"Health, general (121)",Medical services (12191),Undefined,Thousands,GBP (£),7313.34073142738
2010,,"Health, general (121)",,Undefined,Thousands,GBP (£),242691.979839122
2010,,,,Undefined,Thousands,GBP (£),743837.443882864
2011,Bilateral,Basic health (122),Basic health care (12220),Undefined,Thousands,GBP (£),138703.39643
2011,Bilateral,Basic health (122),Basic health infrastructure (12230),Undefined,Thousands,GBP (£),4002.99916
2011,Bilateral,Basic health (122),Basic nutrition (12240),Undefined,Thousands,GBP (£),28402.90591
2011,Bilateral,Basic health (122),Health education (12261),Undefined,Thousands,GBP (£),1947.94
2011,Bilateral,Basic health (122),Health personnel development (12281),Undefined,Thousands,GBP (£),1953.8427
2011,Bilateral,Basic health (122),Infectious disease control (12250),Undefined,Thousands,GBP (£),157545.3229
2011,Bilateral,Basic health (122),Malaria control (12262),Undefined,Thousands,GBP (£),75657.773975
2011,Bilateral,Basic health (122),Tuberculosis control (12263),Undefined,Thousands,GBP (£),14601.903501
2011,Bilateral,Basic health (122),,Undefined,Thousands,GBP (£),422816.084576
2011,Bilateral,"Health, general (121)",Health policy and administrative management (12110),Undefined,Thousands,GBP (£),58793.277102
2011,Bilateral,"Health, general (121)",Medical education/training (12181),Undefined,Thousands,GBP (£),472.883
2011,Bilateral,"Health, general (121)",Medical research (12182),Undefined,Thousands,GBP (£),67975.6705189999
2011,Bilateral,"Health, general (121)",Medical services (12191),Undefined,Thousands,GBP (£),665.71286
2011,Bilateral,"Health, general (121)",,Undefined,Thousands,GBP (£),127907.543481
2011,Bilateral,,,Undefined,Thousands,GBP (£),550723.628057
2011,Multilateral,Basic health (122),Basic health care (12220),Undefined,Thousands,GBP (£),86567.9313313267
2011,Multilateral,Basic health (122),Basic health infrastructure (12230),Undefined,Thousands,GBP (£),2938.34965149972
2011,Multilateral,Basic health (122),Basic nutrition (12240),Undefined,Thousands,GBP (£),9006.79830186856
2011,Multilateral,Basic health (122),Health education (12261),Undefined,Thousands,GBP (£),1956.44499621995
2011,Multilateral,Basic health (122),Health personnel development (12281),Undefined,Thousands,GBP (£),1545.03597403084
2011,Multilateral,Basic health (122),Infectious disease control (12250),Undefined,Thousands,GBP (£),29488.2333364581
2011,Multilateral,Basic health (122),Malaria control (12262),Undefined,Thousands,GBP (£),51257.6041964484
2011,Multilateral,Basic health (122),Tuberculosis control (12263),Undefined,Thousands,GBP (£),32447.2516316455
2011,Multilateral,Basic health (122),,Undefined,Thousands,GBP (£),215207.649419497
2011,Multilateral,"Health, general (121)",Health policy and administrative management (12110),Undefined,Thousands,GBP (£),51459.3194486325
2011,Multilateral,"Health, general (121)",Medical education/training (12181),Undefined,Thousands,GBP (£),1537.63783694936
2011,Multilateral,"Health, general (121)",Medical research (12182),Undefined,Thousands,GBP (£),507.492379651922
2011,Multilateral,"Health, general (121)",Medical services (12191),Undefined,Thousands,GBP (£),6983.01626583725
2011,Multilateral,"Health, general (121)",,Undefined,Thousands,GBP (£),60487.465931071
2011,Multilateral,,,Undefined,Thousands,GBP (£),275695.115350569
2011,,Basic health (122),Basic health care (12220),Undefined,Thousands,GBP (£),225271.327761326
2011,,Basic health (122),Basic health infrastructure (12230),Undefined,Thousands,GBP (£),6941.34881149972
2011,,Basic health (122),Basic nutrition (12240),Undefined,Thousands,GBP (£),37409.7042118685
2011,,Basic health (122),Health education (12261),Undefined,Thousands,GBP (£),3904.38499621995
2011,,Basic health (122),Health personnel development (12281),Undefined,Thousands,GBP (£),3498.87867403084
2011,,Basic health (122),Infectious disease control (12250),Undefined,Thousands,GBP (£),187033.556236458
2011,,Basic health (122),Malaria control (12262),Undefined,Thousands,GBP (£),126915.378171448
2011,,Basic health (122),Tuberculosis control (12263),Undefined,Thousands,GBP (£),47049.1551326455
2011,,Basic health (122),,Undefined,Thousands,GBP (£),638023.733995497
2011,,"Health, general (121)",Health policy and administrative management (12110),Undefined,Thousands,GBP (£),110252.596550632
2011,,"Health, general (121)",Medical education/training (12181),Undefined,Thousands,GBP (£),2010.52083694936
2011,,"Health, general (121)",Medical research (12182),Undefined,Thousands,GBP (£),68483.1628986519
2011,,"Health, general (121)",Medical services (12191),Undefined,Thousands,GBP (£),7648.72912583725
2011,,"Health, general (121)",,Undefined,Thousands,GBP (£),188395.009412071
2011,,,,Undefined,Thousands,GBP (£),826418.743407568
2012,Bilateral,Basic health (122),Basic health care (12220),Undefined,Thousands,GBP (£),203576.24136
2012,Bilateral,Basic health (122),Basic health infrastructure (12230),Undefined,Thousands,GBP (£),0.0
2012,Bilateral,Basic health (122),Basic nutrition (12240),Undefined,Thousands,GBP (£),40390.09455
2012,Bilateral,Basic health (122),Health education (12261),Undefined,Thousands,GBP (£),16836.427
2012,Bilateral,Basic health (122),Health personnel development (12281),Undefined,Thousands,GBP (£),1908.87446
2012,Bilateral,Basic health (122),Infectious disease control (12250),Undefined,Thousands,GBP (£),111346.5383
2012,Bilateral,Basic health (122),Malaria control (12262),Undefined,Thousands,GBP (£),92566.90632
2012,Bilateral,Basic health (122),Tuberculosis control (12263),Undefined,Thousands,GBP (£),6876.0
2012,Bilateral,Basic health (122),,Undefined,Thousands,GBP (£),473501.081989999
2012,Bilateral,"Health, general (121)",Health policy and administrative management (12110),Undefined,Thousands,GBP (£),93756.175768
2012,Bilateral,"Health, general (121)",Medical education/training (12181),Undefined,Thousands,GBP (£),0.0
2012,Bilateral,"Health, general (121)",Medical research (12182),Undefined,Thousands,GBP (£),83954.0736684999
2012,Bilateral,"Health, general (121)",Medical services (12191),Undefined,Thousands,GBP (£),0.0
2012,Bilateral,"Health, general (121)",,Undefined,Thousands,GBP (£),177710.2494365
2012,Bilateral,,,Undefined,Thousands,GBP (£),651211.331426499
2012,Multilateral,Basic health (122),Basic health care (12220),Undefined,Thousands,GBP (£),144959.306703882
2012,Multilateral,Basic health (122),Basic health infrastructure (12230),Undefined,Thousands,GBP (£),2119.1896068409
2012,Multilateral,Basic health (122),Basic nutrition (12240),Undefined,Thousands,GBP (£),6372.99190073622
2012,Multilateral,Basic health (122),Health education (12261),Undefined,Thousands,GBP (£),1683.25718557715
2012,Multilateral,Basic health (122),Health personnel development (12281),Undefined,Thousands,GBP (£),2102.4172531931
2012,Multilateral,Basic health (122),Infectious disease control (12250),Undefined,Thousands,GBP (£),21926.9304109718
2012,Multilateral,Basic health (122),Malaria control (12262),Undefined,Thousands,GBP (£),42490.8960911575
2012,Multilateral,Basic health (122),Tuberculosis control (12263),Undefined,Thousands,GBP (£),20042.5354601965
2012,Multilateral,Basic health (122),,Undefined,Thousands,GBP (£),241697.524612555
2012,Multilateral,"Health, general (121)",Health policy and administrative management (12110),Undefined,Thousands,GBP (£),43407.8591887525
2012,Multilateral,"Health, general (121)",Medical education/training (12181),Undefined,Thousands,GBP (£),2066.9077962414
2012,Multilateral,"Health, general (121)",Medical research (12182),Undefined,Thousands,GBP (£),209.061770647051
2012,Multilateral,"Health, general (121)",Medical services (12191),Undefined,Thousands,GBP (£),5326.89799261902
2012,Multilateral,"Health, general (121)",,Undefined,Thousands,GBP (£),51010.72674826
2012,Multilateral,,,Undefined,Thousands,GBP (£),292708.251360815
2012,,Basic health (122),Basic health care (12220),Undefined,Thousands,GBP (£),348535.548063882
2012,,Basic health (122),Basic health infrastructure (12230),Undefined,Thousands,GBP (£),2119.1896068409
2012,,Basic health (122),Basic nutrition (12240),Undefined,Thousands,GBP (£),46763.0864507362
2012,,Basic health (122),Health education (12261),Undefined,Thousands,GBP (£),18519.6841855771
2012,,Basic health (122),Health personnel development (12281),Undefined,Thousands,GBP (£),4011.2917131931
2012,,Basic health (122),Infectious disease control (12250),Undefined,Thousands,GBP (£),133273.468710971
2012,,Basic health (122),Malaria control (12262),Undefined,Thousands,GBP (£),135057.802411157
2012,,Basic health (122),Tuberculosis control (12263),Undefined,Thousands,GBP (£),26918.5354601965
2012,,Basic health (122),,Undefined,Thousands,GBP (£),715198.606602555
2012,,"Health, general (121)",Health policy and administrative management (12110),Undefined,Thousands,GBP (£),137164.034956752
2012,,"Health, general (121)",Medical education/training (12181),Undefined,Thousands,GBP (£),2066.9077962414
2012,,"Health, general (121)",Medical research (12182),Undefined,Thousands,GBP (£),84163.135439147
2012,,"Health, general (121)",Medical services (12191),Undefined,Thousands,GBP (£),5326.89799261902
2012,,"Health, general (121)",,Undefined,Thousands,GBP (£),228720.97618476
2012,,,,Undefined,Thousands,GBP (£),943919.582787315
2013,Bilateral,Basic health (122),Basic health care (12220),Undefined,Thousands,GBP (£),231259.37136
2013,Bilateral,Basic health (122),Basic health infrastructure (12230),Undefined,Thousands,GBP (£),0.0
2013,Bilateral,Basic health (122),Basic nutrition (12240),Undefined,Thousands,GBP (£),66711.630666
2013,Bilateral,Basic health (122),Health education (12261),Undefined,Thousands,GBP (£),27758.314643
2013,Bilateral,Basic health (122),Health personnel development (12281),Undefined,Thousands,GBP (£),2176.33061
2013,Bilateral,Basic health (122),Infectious disease control (12250),Undefined,Thousands,GBP (£),224005.856233
2013,Bilateral,Basic health (122),Malaria control (12262),Undefined,Thousands,GBP (£),175888.7766685
2013,Bilateral,Basic health (122),Tuberculosis control (12263),Undefined,Thousands,GBP (£),11747.8639
2013,Bilateral,Basic health (122),,Undefined,Thousands,GBP (£),739548.1440805
